latitude,longitude
41.3167, 16.2833  
41.2333, 16.2833  
41.2417, 16.2883  
41.3075, 16.2900  
41.2400, 16.3025  
41.3167, 16.3000  
41.2150, 16.2833  
41.3000, 16.2500  
41.2833, 16.2667  
41.2583, 16.2833  
41.2750, 16.2917  
41.2400, 16.3200  
41.2333, 16.3000  
41.3100, 16.2700  
41.3200, 16.3100  
41.2450, 16.2600  
41.2900, 16.2950  
41.2800, 16.2700  
41.2700, 16.3000  
41.2300, 16.2500  
41.2600, 16.3100  
41.3000, 16.3150  
41.3200, 16.2900  
41.2500, 16.2750  
41.2850, 16.2650  
41.2450, 16.3050  
41.3100, 16.
