latitude,longitude
45.6983, 9.6773  
45.7211, 9.6702  
45.6975, 9.6680  
45.7314, 9.7633  
45.7875, 9.7179  
45.8420, 9.7384  
45.8541, 9.6825  
45.9123, 9.7932  
45.9180, 9.6601  
45.9387, 9.7374  
45.7791, 9.6337  
45.8560, 9.5731  
45.9105, 9.6186  
45.8832, 9.8425  
45.8614, 9.8940  
45.8955, 9.9201  
45.7692, 9.8833  
45.7804, 9.9402  
45.7219, 9.9144  
45.7355, 9.9773  
45.8080, 10.0031  
45.7832, 9.9948  
45.8371, 9.9653  
45.7488, 9.7189  
45.6894, 9.6333  
45.7097, 9.7010  
45.6531, 9.7171  
45.6212, 9.6948  
45.6365, 9.6681  
45.6650, 9.7439  
