latitude,longitude
46.5000, 11.3500  
46.4900, 11.3400  
46.5100, 11.3600  
46.5200, 11.3700  
46.5300, 11.3800  
46.5400, 11.3900  
46.5500, 11.4000  
46.5600, 11.4100  
46.5700, 11.4200  
46.5800, 11.4300  
46.5900, 11.4400  
46.6000, 11.4500  
46.6100, 11.4600  
46.6200, 11.4700  
46.6300, 11.4800  
46.6400, 11.4900  
46.6500, 11.5000  
46.6600, 11.5100  
46.6700, 11.5200  
46.6800, 11.5300  
46.6900, 11.5400  
46.7000, 11.5500  
46.7100, 11.5600  
46.7200, 11.5700  
46.7300, 11.5800  
46.7400, 11.5900  
46.7500, 11.6000  
46.7600, 11.6100  
46.7700, 11.6200  
46.7800, 11.6300  
