latitude,longitude
45.4642, 9.1900
45.5416, 9.3319
45.1396, 9.5337
45.6312, 9.2810
45.7090, 9.6457
45.5601, 9.6708
45.4086, 9.4574
45.4932, 9.1630
45.6984, 9.6459
45.3175, 9.5714
45.6250, 10.2600
45.8003, 9.0852
45.3069, 9.1672
45.3749, 9.6143
45.6900, 9.6711
45.7100, 9.5341
45.4870, 9.7067
45.3716, 9.2240
45.4778, 9.2130
45.6889, 9.1542
45.5546, 9.6554
45.1371, 9.7033
45.5884, 9.2298
45.5281, 9.2820
45.7734, 9.0965
45.3715, 9.1937
45.7439, 9.1422
45.5200, 9.2000
45.3819, 9.2706
45.7610, 9.1103
45.7540, 9.2074
45.4011, 9.2811
45.6893, 9.3338
45.4939, 9.2986
45.1410, 9.6763
45.6152, 9.2962
45.3545, 9.3614
45.4889, 9.6108
45.6985, 9.4201
45.5267, 9.3857
45.3633, 9.6302
45.6412, 9.0853
45.4929, 9.2804
45.7269, 9.3049
45.6397, 9.5483
45.3770, 9.2221
45.4834, 9.4145
45.5079, 9.2857
45.3455, 9.1461
45.7001, 9.2198
45.5773, 9.2045
45.6534, 9.2079
45.5603, 9.2843
45.5148, 9.5740
45.7407, 9.1380
45.3921, 9.1746
45.4197, 9.3779
45.7302, 9.3862
45.6271, 9.4500
45.3684, 9.2327
45.5249, 9.2205
45.4831, 9.6451
45.6583, 9.2154
45.5820, 9.2238
45.7194, 9.3211
45.3618, 9.4165
45.5299, 9.3650
45.4740, 9.2348
45.6431, 9.1819
45.3810, 9.2837
45.5867, 9.2523
45.4884, 9.3098
45.5241, 9.2540
45.7390, 9.1816
45.3628, 9.2920
45.6667, 9.2067
45.5769, 9.3018
45.6023, 9.3110
45.4650, 9.2007
45.5137, 9.3896
45.3675, 9.3052
45.7291, 9.1498
45.6117, 9.2689
45.5830, 9.1927
45.7012, 9.2655
45.3837, 9.1972
45.5198, 9.3467
45.4951, 9.2189
45.5400, 9.3701
45.6654, 9.1507
45.4001, 9.2833
45.7233, 9.3204
45.6374, 9.3308
45.3588, 9.2355
45.5712, 9.2042
