latitude,longitude
42.3500, 13.4000  
42.3500, 13.3833  
42.3667, 13.4000  
42.3667, 13.4167  
42.3833, 13.4000  
42.3333, 13.4000  
42.3500, 13.4167  
42.3667, 13.3667  
42.3833, 13.4167  
42.3167, 13.3833  
42.3167, 13.4000  
42.3833, 13.3833  
42.3500, 13.3667  
42.3333, 13.3667  
42.3333, 13.4167  
42.3167, 13.4167  
42.4000, 13.4000  
42.3833, 13.3667  
42.3667, 13.4333  
42.3500, 13.4333  
42.3167, 13.3667  
42.3000, 13.3833  
42.3000, 13.4000  
42.3000, 13.4167  
42.4000, 13.4167  
42.4000, 13.3833  
42.3500, 13.4500  
42.3667, 13.4500  
42.3333, 13.4500  
42.3833, 13.4500  
