latitude,longitude
45.4642, 9.1900  
45.5000, 9.1167  
45.4667, 9.2000  
45.4500, 9.1833  
45.4700, 9.1000  
45.5200, 9.2333  
45.4833, 9.1500  
45.4500, 9.1167  
45.5000, 9.1833  
45.4600, 9.1200  
45.4700, 9.1400  
45.4300, 9.1833  
45.5100, 9.0833  
45.4400, 9.2000  
45.4800, 9.0833  
45.4850, 9.2300  
45.4550, 9.2100  
45.4600, 9.2500  
45.4950, 9.2700  
45.4700, 9.2700  
45.5200, 9.1500  
45.4350, 9.1500  
45.4850, 9.1950  
45.5000, 9.2500  
45.4600, 9.1800  
45.4750, 9.2250  
45.4900, 9.2050  
45.4300, 9.2400  
45.4650, 9.2600  
45.5100, 9.1900
