latitude,longitude
44.7000, 10.6333  
44.7167, 10.6167  
44.6667, 10.6167  
44.7500, 10.6167  
44.8000, 10.6667  
44.7833, 10.6167  
44.7167, 10.6667  
44.7333, 10.6833  
44.6833, 10.6000  
44.7167, 10.5833  
44.7667, 10.6500  
44.7500, 10.6000  
44.8000, 10.7000  
44.7333, 10.6333  
44.7667, 10.6833  
44.7833, 10.7000  
44.8000, 10.7500  
44.6667, 10.5833  
44.7167, 10.7000  
44.7500, 10.6667  
44.7000, 10.6000  
44.7833, 10.7333  
44.7333, 10.7167  
44.7833, 10.6000  
44.7667, 10.6167  
44.8167, 10.6833  
44.6833, 10.5667  
44.7667, 10.5667  
44.8000, 10.6333  
44.7500, 10.7167  
