latitude,longitude
39.3000, 8.8500  
39.2167, 8.5667  
39.4000, 8.6500  
39.1667, 8.7500  
39.3500, 8.9667  
39.2667, 8.7000  
39.2333, 8.9000  
39.1500, 8.6167  
39.5000, 8.7667  
39.4333, 8.5833  
39.2167, 8.7667  
39.3500, 8.8167  
39.4500, 8.6500  
39.1500, 8.8500  
39.3000, 8.7833  
39.2667, 8.5667  
39.1833, 8.7000  
39.4000, 8.7333  
39.2333, 8.8333  
39.3333, 8.7333  
39.4833, 8.8000  
39.3667, 8.9000  
39.3167, 8.6167  
39.2000, 8.6833  
39.4333, 8.8333  
39.1333, 8.7833  
39.3667, 8.6833  
39.3167, 8.8500  
39.1833, 8.7667  
39.4500, 8.7167  
